client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
6,2,0.4581708268330733,0.09912634969912579,0.22432078357595575,0.06851216713862444,0.9716115672694907,0.9518567753478242,0.9978255204091605,0.9952960725380905,0.95,1.0,2025-08-21 11:04:31,0.09823284823284824,7,1
7,2,0.39752340093603744,0.14196207029036806,0.22364414486988848,0.07456982415105375,0.7620331800461647,0.9144462317197849,0.9806984395869304,0.9870730439269082,0.95,1.0,2025-08-21 11:04:38,0.09432183908045977,6,1
8,2,0.01501560062402496,0.3391388224631433,0.21368984449549988,0.035111112944947356,0.9796055958272336,1.0,0.7685930221194254,0.019408123003956557,0.95,1.0,2025-08-21 11:04:30,0.075,3,0
9,2,0.16994929797191888,0.10222655113940769,0.22216915942497084,0.06523459295218378,0.8049168091395078,0.9740409832422101,0.9133262208033358,0.9820603848312348,0.95,1.0,2025-08-21 11:04:41,0.0916580310880829,4,0
10,2,0.10676677067082684,0.20005636729891943,0.22205638630729296,0.07411240082101882,0.8229033733899443,0.9264651953593812,0.98786933576571,0.9891636295237974,0.95,1.0,2025-08-21 11:04:35,0.095,5,1
11,2,0.0,1.0,0.13888721820398398,0.0,0.9046976957099441,0.9891034082322088,0.9743500993582435,0.9894306109722124,0.95,1.0,2025-08-21 11:04:35,0.06419753086419754,5,1
12,2,0.12909516380655225,0.13763343865794875,0.22140445948354326,0.06862222055885527,0.9089354939761151,0.9867662910610304,0.825365670912467,0.9925368247621668,0.95,1.0,2025-08-21 11:04:30,0.08999999999999998,5,1
13,2,1.0,0.1385564745938103,0.220538416676194,0.06964403669483069,0.9416339601869249,0.9485250811219275,0.9966568394305633,0.9976439711194192,0.95,1.0,2025-08-21 11:04:28,0.09699999999999999,8,1
14,2,0.2528276131045242,0.1027542450015828,0.23089639812492557,0.07833524268617517,0.8569983867540013,0.9258449737742811,0.7541087076913053,0.9832241163133796,0.95,1.0,2025-08-21 11:04:36,0.09221830985915494,4,0
15,2,0.06825273010920437,0.06325087688414269,0.22065577799352043,0.054545455954291604,0.7913847487572668,0.9308025792327866,0.9924748346743981,0.9892767944998745,0.95,1.0,2025-08-21 11:04:35,0.08344827586206895,2,0
16,2,0.045826833073322935,0.19500472654364423,0.22261654913807105,0.06693548123081845,0.9394187474499497,0.9605579355025115,0.6802008339577157,0.981012235441161,0.95,1.0,2025-08-21 11:04:37,0.08857142857142858,4,0
17,2,0.9827418096723869,0.09784180920183827,0.2226765982071559,0.07166749160240218,0.822108786218401,0.8895741654442815,0.8431035606085285,0.9881600869107017,0.95,1.0,2025-08-21 11:04:36,0.09897159647404503,4,0
18,2,0.31464508580343215,0.09205345298963111,0.22333963330373896,0.0629449735029712,0.9004117406283734,0.9464032704360582,0.9238443496107112,0.9876650176075913,0.95,1.0,2025-08-21 11:04:36,0.0945639534883721,5,1
19,2,0.08239079563182528,0.12731171244796616,0.21293094017468106,0.04597014583046756,0.9151236425887468,0.9851660776992488,0.9974956836172916,0.9976795686458745,0.95,1.0,2025-08-21 11:04:28,0.0845631067961165,4,0
20,2,0.0019500780031201249,0.12966277706604906,0.23410644748957687,0.09565217121787693,0.9932339698111219,0.989279126105703,0.9981024204319641,0.9987549655253338,0.95,1.0,2025-08-21 11:04:28,0.06571428571428571,6,1
1,3,0.013943057722308892,0.0,0.14154394678996451,0.06461538652273323,0.6104355782427797,0.908868404676179,0.6628742222367007,0.9719071792300299,0.9,1.0,2025-08-21 11:05:22,0.0676,0,0
2,3,0.002047581903276131,0.15816424214466562,0.12646172959782442,0.004255316263817736,0.8051094363293475,0.9143538582922168,0.8366778512558231,0.9888157845584962,0.9,1.0,2025-08-21 11:05:11,0.06714285714285714,3,0
3,3,0.3792901716068643,0.15400351310475657,0.18143303008201261,0.0752604649592347,0.6142640437529662,0.8807459050095569,0.5785988858846141,0.9711541377290273,0.9,1.0,2025-08-21 11:05:18,0.09669135802469135,5,1
4,3,0.31318252730109203,0.16094748460928643,0.17197956792189406,0.06534897784195688,0.8467891454682531,0.9362970618304663,0.5858349350099359,0.9711996234572757,0.95,1.0,2025-08-21 11:05:21,0.09551622418879056,6,1
5,3,0.09087363494539781,0.21864001470004618,0.16363838195026403,0.055532356881398515,0.5221160097368988,0.8950818442458995,0.8797887415708375,0.9871420416016425,0.9,1.0,2025-08-21 11:05:13,0.09037735849056604,3,0
6,3,0.4581708268330733,0.09912634969912579,0.16832550962283066,0.06521058002890733,0.9567792733199525,0.9463011734897987,0.7880656090171678,0.9871873075920734,0.95,1.0,2025-08-21 11:05:08,0.0984375,5,1
7,3,0.39752340093603744,0.14196207029036806,0.17089667231010197,0.07380940716536252,0.858033757930784,0.9149636618215762,0.8441419356940417,0.9898177890068686,0.95,1.0,2025-08-21 11:05:09,0.097458432304038,8,1
8,3,0.01501560062402496,0.3391388224631433,0.1514819872287564,0.035111112944947356,0.9606077388032294,0.9996041138818509,0.863687819656644,0.9930716666102672,0.95,1.0,2025-08-21 11:05:09,0.08571428571428572,5,1
