client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
10,9,0.538467279,0.137228375,0.268617322,0.660048448,0.031589192,0.184099277,0.199557313,0.145850942,0.161290323,1,2025-08-10 13:03,0.109067278,6,1
6,9,0.09894784,0.031621717,0.250695506,0.698820114,0.108710831,0.174711521,0.050784074,0.16752687,0.193548387,1,2025-08-10 13:03,0.106587302,5,0
1,9,0.436310723,0.343625423,0.276597927,0.660374677,0.015805175,0.189307319,0.213174109,0.205082094,0.161290323,0,2025-08-10 13:03,0.107007299,7,1
5,9,0.466308484,0.140886592,0.337477319,0.583664196,0.043162728,0.177885577,0.001422073,0.071837478,0.161290323,0,2025-08-10 13:03,0.10073955,2,0
4,9,0.679949258,0.26196513,0.257468426,0.688880571,0.14633011,0.209717226,0.124502795,0.184754917,0.161290323,1,2025-08-10 13:03,0.103036117,6,1
2,9,1,0.236185822,0.268077916,0.671855695,0.213422762,0.187566042,0.091131679,0.243332674,0.161290323,1,2025-08-10 13:03,0.113327703,8,1
8,10,0,1,0.087703162,0.93516837,0.005501132,0.116477316,0.018647603,0.049178461,0.096774194,0,2025-08-10 13:04,0.056666667,2,0
3,10,0.212372211,0.364545515,0.273217617,0.656231581,0.164822377,0.195997127,0.038038967,0.090108559,0.193548387,0,2025-08-10 13:04,0.102985612,3,0
9,10,0.03335572,0,0.219696829,0.741092666,0.050250725,0.180630487,0.006197026,0.105406394,0.193548387,0,2025-08-10 13:04,0.100869565,1,0
6,10,0.09894784,0.031621717,0.235284921,0.7242604,0.10308275,0.190200022,0.037366606,0.140941488,0.193548387,1,2025-08-10 13:04,0.104108527,4,0
7,10,0.252667711,0.135959887,0.248763208,0.691673489,0.055307534,0.200976022,0.127974676,0.20932017,0.193548387,0,2025-08-10 13:04,0.107012579,5,0
10,10,0.538467279,0.137228375,0.266990035,0.670410065,0.030065802,0.209240308,0.002528791,0.093039845,0.193548387,0,2025-08-10 13:04,0.106997041,4,0
